names,date,sentences
Leon Wieseltier,6/18/17,186
Leon Wieseltier,6/25/17,292
Leon Wieseltier,7/2/17,231
Leon Wieseltier,7/9/17,211
Leon Wieseltier,7/16/17,257
Leon Wieseltier,7/23/17,238
Leon Wieseltier,7/30/17,248
Leon Wieseltier,8/6/17,225
Leon Wieseltier,8/13/17,174
Leon Wieseltier,8/20/17,202
Leon Wieseltier,8/27/17,181
Leon Wieseltier,9/3/17,275
Leon Wieseltier,9/10/17,254
Leon Wieseltier,9/17/17,269
Leon Wieseltier,9/24/17,300
Leon Wieseltier,10/1/17,356
Leon Wieseltier,10/8/17,381
Leon Wieseltier,10/15/17,370
Leon Wieseltier,10/22/17,481
Leon Wieseltier,10/29/17,295
Leon Wieseltier,11/5/17,408
Leon Wieseltier,11/12/17,273
Leon Wieseltier,11/19/17,236
Leon Wieseltier,11/26/17,43
Knight Landesman,1/1/17,225
Knight Landesman,1/8/17,310
Knight Landesman,1/15/17,370
Knight Landesman,1/22/17,466
Knight Landesman,1/29/17,417
Knight Landesman,2/5/17,447
Knight Landesman,2/12/17,373
Knight Landesman,2/19/17,476
Knight Landesman,2/26/17,462
Knight Landesman,3/5/17,505
Knight Landesman,3/12/17,562
Knight Landesman,3/19/17,523
Knight Landesman,3/26/17,481
Knight Landesman,4/2/17,661
Knight Landesman,4/9/17,423
Knight Landesman,4/16/17,340
Knight Landesman,4/23/17,372
Knight Landesman,4/30/17,491
Knight Landesman,5/7/17,605
Knight Landesman,5/14/17,471
Knight Landesman,5/21/17,319
Knight Landesman,5/28/17,354
Knight Landesman,6/4/17,591
Knight Landesman,6/11/17,380
Knight Landesman,6/18/17,567
Knight Landesman,6/25/17,473
Knight Landesman,7/2/17,654
Knight Landesman,7/9/17,528
Knight Landesman,7/16/17,427
Knight Landesman,7/23/17,425
Knight Landesman,7/30/17,518
Knight Landesman,8/6/17,367
Knight Landesman,8/13/17,282
Knight Landesman,8/20/17,280
Knight Landesman,8/27/17,238
Knight Landesman,9/3/17,239
Knight Landesman,9/10/17,320
Knight Landesman,9/17/17,256
Knight Landesman,9/24/17,283
Knight Landesman,10/1/17,256
Knight Landesman,10/8/17,241
Knight Landesman,10/15/17,410
Knight Landesman,10/22/17,368
Knight Landesman,10/29/17,352
Knight Landesman,11/5/17,440
Knight Landesman,11/12/17,333
Knight Landesman,11/19/17,522
Knight Landesman,11/26/17,106
Rick Najera,1/1/17,675
Rick Najera,1/8/17,811
Rick Najera,1/15/17,1158
Rick Najera,1/22/17,740
Rick Najera,1/29/17,684
Rick Najera,2/5/17,852
Rick Najera,2/12/17,1202
Rick Najera,2/19/17,956
Rick Najera,2/26/17,993
Rick Najera,3/5/17,1138
Rick Najera,3/12/17,1084
Rick Najera,3/19/17,1172
Rick Najera,3/26/17,1228
Rick Najera,4/2/17,1133
Rick Najera,4/9/17,787
Rick Najera,4/16/17,759
Rick Najera,4/23/17,908
Rick Najera,4/30/17,794
Rick Najera,5/7/17,823
Rick Najera,5/14/17,687
Rick Najera,5/21/17,694
Rick Najera,5/28/17,934
Rick Najera,6/4/17,840
Rick Najera,6/11/17,1087
Rick Najera,6/18/17,702
Rick Najera,6/25/17,896
Rick Najera,7/2/17,699
Rick Najera,7/9/17,708
Rick Najera,7/16/17,824
Rick Najera,7/23/17,948
Rick Najera,7/30/17,804
Rick Najera,8/6/17,868
Rick Najera,8/13/17,748
Rick Najera,8/20/17,780
Rick Najera,8/27/17,868
Rick Najera,9/3/17,1507
Rick Najera,9/10/17,1230
Rick Najera,9/17/17,865
Rick Najera,9/24/17,1491
Rick Najera,10/1/17,1253
Rick Najera,10/8/17,1230
Rick Najera,10/15/17,1218
Rick Najera,10/22/17,1187
Rick Najera,10/29/17,2469
Rick Najera,11/5/17,1109
Rick Najera,11/12/17,740
Rick Najera,11/19/17,721
Rick Najera,11/26/17,211
Mark Halperin,1/1/17,4449
Mark Halperin,1/8/17,4465
Mark Halperin,1/15/17,4969
Mark Halperin,1/22/17,5174
Mark Halperin,1/29/17,5225
Mark Halperin,2/5/17,4595
Mark Halperin,2/12/17,5614
Mark Halperin,2/19/17,4894
Mark Halperin,2/26/17,5105
Mark Halperin,3/5/17,5638
Mark Halperin,3/12/17,6507
Mark Halperin,3/19/17,6667
Mark Halperin,3/26/17,6330
Mark Halperin,4/2/17,5482
Mark Halperin,4/9/17,5104
Mark Halperin,4/16/17,5053
Mark Halperin,4/23/17,6483
Mark Halperin,4/30/17,6196
Mark Halperin,5/7/17,5120
Mark Halperin,5/14/17,5105
Mark Halperin,5/21/17,5446
Mark Halperin,5/28/17,4288
Mark Halperin,6/4/17,5053
Mark Halperin,6/11/17,4622
Mark Halperin,6/18/17,4397
Mark Halperin,6/25/17,4537
Mark Halperin,7/2/17,4529
Mark Halperin,7/9/17,4620
Mark Halperin,7/16/17,4758
Mark Halperin,7/23/17,4639
Mark Halperin,7/30/17,4476
Mark Halperin,8/6/17,3912
Mark Halperin,8/13/17,4260
Mark Halperin,8/20/17,4569
Mark Halperin,8/27/17,4716
Mark Halperin,9/3/17,4887
Mark Halperin,9/10/17,4552
Mark Halperin,9/17/17,5299
Mark Halperin,9/24/17,5446
Mark Halperin,10/1/17,4607
Mark Halperin,10/8/17,4505
Mark Halperin,10/15/17,4630
Mark Halperin,10/22/17,5752
Mark Halperin,10/29/17,5582
Mark Halperin,11/5/17,5085
Mark Halperin,11/12/17,4683
Mark Halperin,11/19/17,4042
Mark Halperin,11/26/17,1050
Ken Baker,1/1/17,1188
Ken Baker,1/8/17,1168
Ken Baker,1/15/17,1212
Ken Baker,1/22/17,1359
Ken Baker,1/29/17,1381
Ken Baker,2/5/17,1645
